name,exercise_category,exercise_type,muscle_groups,equipment,default_value_1_type,default_value_2_type,notes
Double-Under,cardio,CARDIO,calves|shoulders|forearms,Jump Rope,reps,duration_s,Double jump rope revolution per jump
Echo Bike,cardio,CARDIO,legs|arms|core,Echo Bike,calories,duration_s,Full body cardio exercise
Row,cardio,CARDIO,lats|rhomboids|legs,Rowing Machine,distance_m,duration_s,Full body rowing exercise
Run,cardio,CARDIO,legs|glutes|calves,None,distance_m,duration_s,Running for cardiovascular fitness
Single-Under,cardio,CARDIO,calves|shoulders|forearms,Jump Rope,reps,duration_s,Single jump rope revolution per jump
Ski-erg,cardio,CARDIO,lats|core|legs,Ski Erg Machine,calories,duration_s,Full body pulling cardio
Back Squat,strength,STRENGTH,quadriceps|glutes|hamstrings,"Barbell, Squat Rack",weight_kg,reps,Compound lower body strength exercise
"Banded Y,T,W",strength,STRENGTH,rear_delts|rhomboids|mid_traps,Resistance Bands,reps,,Shoulder rehabilitation exercise
Bar Dip,strength,STRENGTH,chest|triceps|shoulders,Parallel Bars,reps,,Dips performed on parallel bars
Bar Muscle-Up,strength,STRENGTH,lats|chest|triceps|core,Pull-Up Bar,reps,,Pull-up to dip transition on bar
Bar-Facing Burpee,strength,STRENGTH,chest|legs|core,Barbell,reps,,Burpee facing and jumping over barbell
Bench Press,strength,STRENGTH,chest|triceps|shoulders,"Barbell, Bench",weight_kg,reps,Compound chest exercise
Box Jump,strength,STRENGTH,legs|glutes|calves,Box,reps,,Explosive lower body power exercise
Box Jump Over,strength,STRENGTH,legs|glutes|calves,Box,reps,,Box jump with step or jump over
Bulgarian Split Squat,strength,STRENGTH,quadriceps|glutes|hamstrings,"Dumbbells, Bench",weight_kg,reps,Unilateral leg strength exercise
Burpee,strength,STRENGTH,chest|legs|core,Bodyweight,reps,,Full body burpee movement
Butterfly Pull-Up,strength,STRENGTH,lats|rhomboids|core,Pull-Up Bar,reps,,Continuous butterfly pull-up
Cable Triceps Push,strength,STRENGTH,triceps,Cable Machine,weight_kg,reps,Isolated triceps exercise
Chest-to-Bar Pull-Up,strength,STRENGTH,lats|rhomboids|biceps,Pull-Up Bar,reps,,Pull-up with chest touching bar
Cross Body Rear Delt Cable,strength,STRENGTH,rear_delts|rhomboids,Cable Machine,weight_kg,reps,Rear deltoid isolation
Deadlift,strength,STRENGTH,hamstrings|glutes|lower_back|traps,Barbell,weight_kg,reps,Full body compound movement
Dumbbell Biceps Curl,strength,STRENGTH,biceps,Dumbbells,weight_kg,reps,Isolated biceps exercise
Farmers Carry,strength,STRENGTH,traps|forearms|core,Dumbbells/Kettlebells,weight_kg,distance_m,Grip and core strength
Front Squat,strength,STRENGTH,quadriceps|glutes|core|shoulders,"Barbell, Squat Rack",weight_kg,reps,Front-loaded squat variation with increased core demand
GHD Back,strength,STRENGTH,lower_back|glutes|hamstrings,GHD Machine,reps,,Posterior chain strengthening
GHD Situps,strength,STRENGTH,abs|hip_flexors,GHD Machine,reps,,Core strengthening exercise
Handstand Walk,strength,STRENGTH,shoulders|core|wrists,Open Space,distance_m,,Walking on hands in handstand position
Incline Dumbbell Press,strength,STRENGTH,chest|shoulders|triceps,"Dumbbells, Incline Bench",weight_kg,reps,Upper chest focused press
Kipping Handstand Push-Up,strength,STRENGTH,shoulders|triceps|core,Wall,reps,,Kipping handstand push-up with leg drive
Kipping Pull-Up,strength,STRENGTH,lats|rhomboids|core,Pull-Up Bar,reps,,Dynamic kipping pull-up
Landmine Chest Press,strength,STRENGTH,chest|shoulders|core,"Barbell, Landmine",weight_kg,reps,Chest focused landmine press
Landmine Press,strength,STRENGTH,shoulders|chest|core,"Barbell, Landmine",weight_kg,reps,Unilateral pressing movement
